AOapek,Karel,Karel AOapek
Dashner,James,James Dashner
Davidson,Donald,Donald Davidson
Davidson,James West,James West Davidson
Davis,Arthur Paul,Arthur Paul Davis
Dawkins,Richard,Richard Dawkins
Day,Dorothy,Dorothy Day
DeLappe,Sarah,Sarah DeLappe
Defoe,Daniel,Daniel Defoe
Delany,Samuel R.,Samuel R. Delany
Deledda,Grazia,Grazia Deledda
Democritus,,Democritus
Derleth,August,August Derleth
Derrida,Jacques,Jacques Derrida
Descartes,RenE,RenE Descartes
Descartes,Rene,Rene Descartes
Desmond,Matthew,Matthew Desmond
Dewey,John,John Dewey
DiCamillo,Kate,Kate DiCamillo
Diamond,Jared,Jared Diamond
Dick,Philip K.,Philip K. Dick
Dickens,Charles,Charles Dickens
Dickinson,Emily,Emily Dickinson
Diderot,Denis,Denis Diderot
Didion,Joan,Joan Didion
Dillard,Annie,Annie Dillard
Dilthey,Wilhelm,Wilhelm Dilthey
Dimoula,Kiki,Kiki Dimoula
Dine,S. S. Van,S. S. Van Dine
Dinesen,Isak,Isak Dinesen
Diop,Cheikh Anta,Cheikh Anta Diop
Disraeli,Benjamin,Benjamin Disraeli
Ditlevsen,Tove,Tove Ditlevsen
Dixon,Franklin W.,Franklin W. Dixon
Donne,John,John Donne
Donoghue,Emma,Emma Donoghue
Doolittle,Hilda,Hilda Doolittle
Dostoevsky,Fyodor,Fyodor Dostoevsky
Dostoyevsky,Fyodor,Fyodor Dostoyevsky
Douglas,Lloyd C.,Lloyd C. Douglas
Douglas,Norman,Norman Douglas
Douglass,Frederick,Frederick Douglass
Dove,Rita,Rita Dove
Doyle,Arthur Conan,Arthur Conan Doyle
Dreiser,Theodore,Theodore Dreiser
Duffy,Carol Ann,Carol Ann Duffy
Dukes,Paul,Paul Dukes
Dumas,Alexandre,Alexandre Dumas
Dunbar,Paul Laurence,Paul Laurence Dunbar
Dunsany,Lord,Lord Dunsany
Durkheim,Emile,Emile Durkheim
Durrell,Gerald,Gerald Durrell
Dutt,Sukumar,Sukumar Dutt
Dymond,Jonathan,Jonathan Dymond
Eco,Umberto,Umberto Eco
Eddison,E. R.,E. R. Eddison
Edel,Leon,Leon Edel
Edgeworth,Maria,Maria Edgeworth
Edson,Margaret,Margaret Edson
Edwards,Kim,Kim Edwards
Eggers,Dave,Dave Eggers
Ehrenreich,Barbara,Barbara Ehrenreich
Einstein,Albert,Albert Einstein
Eliot,George,George Eliot
Eliot,T. S.,T. S. Eliot
Ellis,Havelock,Havelock Ellis
Ellison,Ralph,Ralph Ellison
Elytis,Odysseas,Odysseas Elytis
Embiricos,Andreas,Andreas Embiricos
Emerson,Ralph Waldo,Ralph Waldo Emerson
Empiricus,Sextus,Sextus Empiricus
Engels,Friedrich,Friedrich Engels
Engonopoulos,Nikos,Nikos Engonopoulos
Epictetus,,Epictetus
Epicurus,,Epicurus
Equiano,Olaudah,Olaudah Equiano
Erasmus,,Erasmus
Ernaux,Annie,Annie Ernaux
Esquivel,Laura,Laura Esquivel
Euripides,,Euripides
Evanovich,Janet,Janet Evanovich
Evans,Nicholas,Nicholas Evans
Evaristo,Bernardine,Bernardine Evaristo
Facey,A. B.,A. B. Facey
Falkner,John Meade,John Meade Falkner
Faludy,Gyorgy,Gyorgy Faludy
Fanon,Frantz,Frantz Fanon
Fanu,J. Sheridan Le,J. Sheridan Le Fanu
Farge,Oliver La,Oliver La Farge
Faulkner,William,William Faulkner
Fayett ,Madame de Marie-Madeleine Pioche de La Vergne La,Madame de Marie-Madeleine Pioche de La Vergne La Fayett 
Ferber,Edna,Edna Ferber
Ferdowsi,,Ferdowsi
Ferlin,Nils,Nils Ferlin
Fermor,Patrick Leigh,Patrick Leigh Fermor
Feyerabend,Paul,Paul Feyerabend
Feynman,Richard P.,Richard P. Feynman
Fichte,Johann Gottlieb,Johann Gottlieb Fichte
Fielding,Henry,Henry Fielding
Figner,Vera,Vera Figner
Fisher,M. F. K.,M. F. K. Fisher
FitzGerald,Edward,Edward FitzGerald
Fitzgerald,F. Scott,F. Scott Fitzgerald
Fitzgerald,Penelope,Penelope Fitzgerald
Fitzhugh,Louise,Louise Fitzhugh
Flagg,Fannie,Fannie Flagg
Flammarion,Camille,Camille Flammarion
Flaubert,Gustave,Gustave Flaubert
Fleischman,Sid,Sid Fleischman
Flesche,Francis La,Francis La Flesche
Fletcher,J. S.,J. S. Fletcher
Fletcher,John,John Fletcher
Flynn,Gillian,Gillian Flynn
Follett,Barbara Newhall,Barbara Newhall Follett
Follett,Ken,Ken Follett
Follett,Mary Parker,Mary Parker Follett
Fonseca,JosE da,JosE da Fonseca
Fontaine,Jean de La,Jean de La Fontaine
Foote,Shelby,Shelby Foote
Forbes,Esther,Esther Forbes
Ford,Ford Madox,Ford Madox Ford
Forester,C. S.,C. S. Forester
Forster,E. M.,E. M. Forster
Foucault,Michel,Michel Foucault
Fox,Paula,Paula Fox
France,Anatole,Anatole France
France,Marie de,Marie de France
Frank,Anne,Anne Frank
Frank,Robert,Robert Frank
Frankl,Viktor,Viktor Frankl
Franklin,Benjamin,Benjamin Franklin
Franklin,Miles,Miles Franklin
Frayn,Michael,Michael Frayn
Frazer,James George,James George Frazer
Frazier,Charles,Charles Frazier
Frederic,Harold,Harold Frederic
Freeman,Douglas Southall,Douglas Southall Freeman
Frege,,Frege
Freud,Sigmund,Sigmund Freud
Friedan,Betty,Betty Friedan
Friedman,Milton,Milton Friedman
Frost,Robert,Robert Frost
Frye,Northrop,Northrop Frye
Fryer,Peter,Peter Fryer
Fu,Du,Du Fu
Fuhmann,Franz,Franz Fuhmann
Fuller,Henry Blake,Henry Blake Fuller
Funke,Cornelia,Cornelia Funke
Furphy,Joseph,Joseph Furphy
Fussell,Paul,Paul Fussell
Gabernas,Jurgeb,Jurgeb Gabernas
Gabirol,Ibn,Ibn Gabirol
