AOapek,Karel,Karel AOapek
Thompson,Hunter S.,Hunter S. Thompson
Thoreau,Henry David,Henry David Thoreau
Thorndike,Russell,Russell Thorndike
Thucydides,,Thucydides
Tillich,Paul,Paul Tillich
Tocqueville,Alexis de,Alexis de Tocqueville
Tolkien,J. R. R.,J. R. R. Tolkien
Tollens,Hendrik,Hendrik Tollens
Tolstoy,Leo,Leo Tolstoy
Toomer,Jean,Jean Toomer
Toynbee,Arnold J.,Arnold J. Toynbee
Tozer,A. W.,A. W. Tozer
Travers,P. L.,P. L. Travers
Treadwell,Sophie,Sophie Treadwell
Trevor,William,William Trevor
Trilling,Lionel,Lionel Trilling
Trollope,Anthony,Anthony Trollope
Tsu,Lao,Lao Tsu
Tsvetayeva,Marina,Marina Tsvetayeva
Tuchman,Barbara Wertheim,Barbara Wertheim Tuchman
Tuqan,Fadwa,Fadwa Tuqan
Turgenev,Ivan Sergeevich,Ivan Sergeevich Turgenev
Turgenev,Ivan,Ivan Turgenev
Turner,Frederick J.,Frederick J. Turner
Tvardovsky,Alexander,Alexander Tvardovsky
Twain,Mark,Mark Twain
Tyng,Sewell,Sewell Tyng
Tzu,Lao,Lao Tzu
Tzu,Sun,Sun Tzu
Umbral,Francisco,Francisco Umbral
Unamuno,Miguel de,Miguel de Unamuno
Underhill,Evelyn,Evelyn Underhill
Valente,Jose Angel,Jose Angel Valente
Valery,Paul,Paul Valery
Vallejo,Cesar,Cesar Vallejo
Valmiki,,Valmiki
Varnalis,Kostas,Kostas Varnalis
Vasalis,M.,M. Vasalis
Vasari,Giorgio,Giorgio Vasari
Veblen,Thorstein,Thorstein Veblen
Verlaine,Paul,Paul Verlaine
Verne,Jules,Jules Verne
Vico,Giambattista,Giambattista Vico
Vigny,Alfred de,Alfred de Vigny
Vilakazi,B. W.,B. W. Vilakazi
Villon,Francois,Francois Villon
Virgil,,Virgil
Vitale,Ida,Ida Vitale
Voltaire,,Voltaire
Vondel,Joost van den,Joost van den Vondel
Vonnegut,Kurt,Kurt Vonnegut
Voynich,Ethel,Ethel Voynich
Voznesensky,Andrey,Andrey Voznesensky
Vyasa,,Vyasa
Walcott,Derek,Derek Walcott
Walker,Alice,Alice Walker
Wallace,David Foster,David Foster Wallace
Wallace,Edgar,Edgar Wallace
Wallace,Lew,Lew Wallace
Waller,Robert James,Robert James Waller
Walpole,Horace,Horace Walpole
Walpole,Hugh,Hugh Walpole
Walton,Izaak,Izaak Walton
Wang,Wei,Wei Wang
Warner,Sylvia Townsend,Sylvia Townsend Warner
Warren,Robert Penn,Robert Penn Warren
Washington,Booker T.,Booker T. Washington
Watson,James D.,James D. Watson
Waugh,Evelyn,Evelyn Waugh
Weaver,Richard M.,Richard M. Weaver
Weber,Max,Max Weber
Webster,John,John Webster
Weinbaum,Stanley G.,Stanley G. Weinbaum
Weinberger,Eliot,Eliot Weinberger
Wellman,Manly Wade,Manly Wade Wellman
Wells,H. G.,H. G. Wells
West,Cornel,Cornel West
West,Rebecca,Rebecca West
Westcott,Edward Noyes,Edward Noyes Westcott
Westover,Tara,Tara Westover
Wharton,Edith,Edith Wharton
Wheatley,Phillis,Phillis Wheatley
Whistler,James McNeill,James McNeill Whistler
White,E. B.,E. B. White
White,Fred M.,Fred M. White
White,Gilbert,Gilbert White
White,T. H.,T. H. White
Whitehead,Alfred North,Alfred North Whitehead
Whitman,Walt,Walt Whitman
Whittaker,Alison,Alison Whittaker
Whymper,Edward,Edward Whymper
Widdemer,Margaret,Margaret Widdemer
Wiesel,Elie,Elie Wiesel
Wiggin,Kate Douglas Smith,Kate Douglas Smith Wiggin
Wilde,Oscar,Oscar Wilde
Wilder,Thornton,Thornton Wilder
Wilkerson,Isabel,Isabel Wilkerson
Williams,Sir Bernard,Sir Bernard Williams
Williams,Tennessee,Tennessee Williams
Williams,William Carlos,William Carlos Williams
Wilmot,Chester,Chester Wilmot
Wilmot,John,John Wilmot
Wilson,August,August Wilson
Wilson,Colin,Colin Wilson
Wilson,Edmund,Edmund Wilson
Wilson,Harriet E.,Harriet E. Wilson
Wilson,Margaret,Margaret Wilson
Wister,Owen,Owen Wister
Wittgenstein,Ludwig,Ludwig Wittgenstein
Wodehouse,P. G.,P. G. Wodehouse
Wolfe,Bernard,Bernard Wolfe
Wolfe,Thomas,Thomas Wolfe
Wolfe,Tom,Tom Wolfe
Wollaston,William,William Wollaston
Wollstonecraft,Mary,Mary Wollstonecraft
Woodson,Jacqueline,Jacqueline Woodson
Woodward,Bob,Bob Woodward
Woolf,Virginia,Virginia Woolf
Wordsworth ,William,William Wordsworth 
Wordsworth,William,William Wordsworth
Wouk,Herman,Herman Wouk
Wright,Lawrence,Lawrence Wright
Wright,Richard,Richard Wright
Wyatt,Meyne,Meyne Wyatt
Wycherley,William,William Wycherley
Wylie,Philip,Philip Wylie
Wyss,Johann David,Johann David Wyss
Xenophon,,Xenophon
Xi,Zhu,Zhu Xi
Xueqin,Cao,Cao Xueqin
Yangming,Wang,Wang Yangming
Yates,Frances A.,Frances A. Yates
Yeats,W. B.,W. B. Yeats
Yeats,William Butler,William Butler Yeats
Young,William P.,William P. Young
Zamyatin,Yevgeny,Yevgeny Zamyatin
Zangwill,Israel,Israel Zangwill
Zeno,,Zeno
Zhuangzi,,Zhuangzi
Ziedonis,Imants,Imants Ziedonis
Zinn,Howard,Howard Zinn
Zitkala-Sa,,Zitkala-Sa
Zizek,Slavoj,Slavoj Zizek
Zola,Emile,Emile Zola
Zola,emile,emile Zola
Zorn,Fritz,Fritz Zorn
Zurita,Raul,Raul Zurita
Zusak,Markus,Markus Zusak
Zweig,Stefan,Stefan Zweig
al-'Arabi,Ibn,Ibn al-'Arabi
al-Ghazali,,al-Ghazali
al-Kindi,Yaqub ibn Ishaq as-sabah,Yaqub ibn Ishaq as-sabah al-Kindi
al-MaE>arri,Abu al-E>AlaE4,Abu al-E>AlaE4 al-MaE>arri
d'Aubigne,Agrippa,Agrippa d'Aubigne
eluard,Paul,Paul eluard
hooks,bell,bell hooks
scripture,Hindu,Hindu scripture
