`Abd,al-Rahman,Abnudi,,,,,,
Emil,Ludwig,,,,,,,
Emile,Durkheim,,,,,,,
emile,Zola,,,,,,,
emile,Zola,,,,,,,
Emily,Bronte,,,,,,,
Emily,Dickinson,,,,,,,
Emma,Donoghue,,,,,,,
Encyclopedia,Britannica,,,,,,,
Eoin,Colfer,,,,,,,
Erasmus,,,,,,,,
Erich,Maria,Remarque,,,,,,
Erik,Larson,,,,,,,
Erik,Lindegren,,,,,,,
Ernest,H.,Gombrich,,,,,,
Ernest,Hemingway,,,,,,,
Ernest,Hemingway,,,,,,,
Ernest,Hemingway,,,,,,,
Ernest,Hemingway,,,,,,,
Ernest,Hemingway,,,,,,,
Ernest,Hemingway,,,,,,,
Ernst,Junger,,,,,,,
Es'kia,Mphahlele,,,,,,,
Esther,Forbes,,,,,,,
Eugene,Genovese,,,,,,,
Eugene,Ionesco,,,,,,,
Eugene,Lee-Hamilton,,,,,,,
Eugene,N.,Marais,,,,,,
Eugene,O'Neill,,,,,,,
Eugene,O'Neill,,,,,,,
Eugenio,Montale,,,,,,,
Euripides,,,,,,,,
Euripides,,,,,,,,
Evelyn,Waugh,,,,,,,
Ezra,Pound,,,,,,,
Ezra,Pound,,,,,,,
Ezra,Pound,,,,,,,
Ezra,Pound,,,,,,,
F.,R.,Leavis,,,,,,
F.,R.,Leavis,,,,,,
F.,Scott,Fitzgerald,,,,,,
F.,Scott,Fitzgerald,,,,,,
F.,Scott,Fitzgerald,,,,,,
Fadwa,Tuqan,,,,,,,
Fannie,Flagg,,,,,,,
Fanny,Howe,,,,,,,
Federico,Garcia,Lorca,,,,,,
Federico,Garcia,Lorca,,,,,,
Federico,Garcia,Lorca,,,,,,
Federico,Garcia,Lorca,,,,,,
Ferdowsi,,,,,,,,
Fernand,Braudel,,,,,,,
Fernando,Pessoa,,,,,,,
Fernando,Pessoa,,,,,,,
Frances,A.,Yates,,,,,,
Frances,Hodgson,Burnett,,,,,,
Francesco,Petrarca,,,,,,,
Francesco,Petrarca,,,,,,,
Francis,Bacon,,,,,,,
Francis,Ponge,,,,,,,
Francisco,de,Quevedo,,,,,,
Francisco,Umbral,,,,,,,
Francois,duc,de,La,Rochefoucauld,,,,
Francois,Haverschmidt,,,,,,,
Francois,Villon,,,,,,,
Francois-Auguste-Rene,de,Chateaubriand,,,,,,
Frank,McCourt,,,,,,,
Frank,O'Hara,,,,,,,
Frantz,Fanon,,,,,,,
Franz,Fuhmann,,,,,,,
Franz,Kafka,,,,,,,
Franz,Kafka,,,,,,,
Franz,Kafka,,,,,,,
Fred,Gipson,,,,,,,
Frederick,Douglass,,,,,,,
Frederick,J.,Turner,,,,,,
Frederick,Seidel,,,,,,,
Friederike,Mayrucker,,,,,,,
Friedrich,Holderlin,,,,,,,
